use UserDb
go

insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Ellis', 'McGilbon', '624-218-5768', 'Denise', 1, 'Yotz', '6/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Stanislaus', 'Griswaite', '187-506-3226', 'Harvey', 0, 'Devpoint', '2/21/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Mella', 'Housaman', '815-984-2948', 'Berta', 1, 'Avaveo', '3/13/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Tad', 'Birtles', '306-324-0031', 'Lu', 0, 'Thoughtbridge', '9/23/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Clemmy', 'Payn', '775-870-8802', 'Callida', 1, 'Chatterpoint', '11/16/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Brittne', 'Eastham', '946-296-5967', 'Arielle', 0, 'Dynazzy', '3/3/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Andie', 'Van Castele', '103-616-3191', 'Alvy', 0, 'Muxo', '3/20/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Gypsy', 'Beckenham', '787-579-8770', 'Alyse', 0, 'Tagcat', '8/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Erich', 'Betser', '736-713-2963', 'Darwin', 0, 'Twiyo', '11/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Harriett', 'Sloane', '853-748-3023', 'Kriste', 0, 'Yakitri', '8/7/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Rhodia', 'Tuckley', '371-152-0985', 'Chryste', 1, 'Skyndu', '1/9/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Jeralee', 'Wolsey', '838-220-6521', 'Joaquin', 1, 'Wordware', '3/30/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Bev', 'Storry', '865-779-0933', 'Merna', 1, 'Fivechat', '9/13/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Merralee', 'Batteson', '113-679-8590', 'Danella', 1, 'Vinder', '11/23/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Meredith', 'Pepperell', '850-455-8432', 'Gal', 1, 'Mycat', '3/31/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Estell', 'Gillyatt', '396-210-3172', 'Catina', 0, 'Brainverse', '2/3/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Berky', 'Trotton', '111-172-5207', 'Stevy', 0, 'Wordtune', '1/19/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Zebulen', 'Coogan', '673-784-4897', 'Neall', 1, 'Bubbletube', '9/29/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Corella', 'Carbert', '768-194-9759', 'Jeth', 1, 'Devpoint', '8/15/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Leroy', 'O''Currine', '894-392-3049', 'Emilie', 1, 'Wordify', '6/10/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Arlene', 'Kubach', '558-995-9309', 'Corabelle', 0, 'Avamba', '3/1/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Milicent', 'McKevany', '895-695-0847', 'Henry', 0, 'Dabtype', '3/18/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Moore', 'McCulley', '963-400-5601', 'Ariadne', 1, 'Voomm', '5/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Abbie', 'Haddrill', '147-268-6216', 'Paxton', 0, 'Jetwire', '5/30/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Vivian', 'Lillecrop', '794-756-8241', 'Marlyn', 1, 'Wikido', '3/28/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Prue', 'Fackney', '714-176-2930', 'Pierce', 1, 'Browsebug', '4/21/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Terry', 'Annear', '620-874-3313', 'Holly-anne', 1, 'Dynazzy', '2/25/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Horst', 'Timmons', '314-903-4053', 'Rockwell', 0, 'Divavu', '10/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Damara', 'Mounch', '663-786-3517', 'Cinnamon', 1, 'Zoovu', '7/20/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Loreen', 'Crocroft', '565-905-6094', 'Kaycee', 1, 'Lazzy', '5/4/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Nichols', 'cornhill', '387-717-5273', 'Fina', 0, 'Livetube', '10/20/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Orton', 'Folkes', '278-752-3737', 'Darline', 1, 'Geba', '8/7/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Cazzie', 'Rahlof', '276-307-2715', 'Laverna', 1, 'Twimbo', '10/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Reena', 'Reeday', '126-289-9378', 'Gabby', 1, 'Gabcube', '6/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Griffin', 'Worrall', '423-455-5415', 'Norean', 0, 'Rhynoodle', '5/10/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Cortie', 'Papen', '717-448-9570', 'Berty', 0, 'Vipe', '7/25/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Cristionna', 'Mifflin', '974-626-1022', 'Anallese', 0, 'Fatz', '10/13/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Izak', 'Noades', '386-595-2684', 'Merell', 1, 'Gigaclub', '8/30/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Aymer', 'Lettuce', '497-546-3849', 'Lizzy', 0, 'Browsezoom', '6/22/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Luciana', 'Kinahan', '893-801-7722', 'Kaylyn', 0, 'Flashpoint', '2/8/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Rich', 'Inchbald', '646-710-3401', 'Shoshanna', 1, 'Jamia', '1/8/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Jillie', 'Goulbourne', '326-431-5789', 'Domingo', 1, 'Thoughtbridge', '4/9/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Gertruda', 'Couronne', '801-462-3999', 'Francesca', 0, 'Zoovu', '11/21/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Prudy', 'Bernath', '682-461-0091', 'Arty', 1, 'Browsedrive', '12/30/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Charmaine', 'MacKall', '582-357-0319', 'Chery', 1, 'Youfeed', '12/6/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Raeann', 'Raikes', '735-717-0704', 'Cullin', 1, 'Realblab', '10/19/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Cad', 'Ayscough', '852-230-3489', 'Corena', 1, 'Brainsphere', '10/26/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Zea', 'Dyers', '476-127-8153', 'Saunders', 1, 'Muxo', '10/19/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Eddy', 'Craigie', '781-805-9195', 'Zachariah', 0, 'Gabvine', '9/8/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Carson', 'Halbard', '234-915-6667', 'Nealon', 1, 'Photobean', '9/15/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Pasquale', 'Elener', '990-746-2197', 'Shena', 0, 'Omba', '8/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Yves', 'Balser', '956-515-7773', 'Bird', 1, 'Yabox', '12/29/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Tina', 'Mapes', '287-336-2697', 'Elvera', 0, 'Fivebridge', '8/18/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Jerad', 'Fiander', '276-929-9994', 'Deloria', 1, 'Flipbug', '11/30/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Gillan', 'MacGruer', '348-672-4826', 'Franny', 1, 'Brainsphere', '2/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Rossie', 'Dixcee', '859-567-5346', 'Hershel', 1, 'Miboo', '3/4/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Lesya', 'Gingell', '243-632-7970', 'Justino', 0, 'Youfeed', '2/23/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Stephen', 'Bunyard', '966-473-5753', 'Lesya', 0, 'Zoonoodle', '6/21/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Brooke', 'Golding', '482-414-8752', 'Tabb', 0, 'Zoombox', '1/28/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Lorain', 'Merrien', '196-418-0156', 'Del', 1, 'Blogspan', '1/8/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Quinn', 'Fury', '622-337-5615', 'Jasmine', 0, 'Pixonyx', '11/28/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Gwyneth', 'Solon', '718-209-6200', 'Rosemaria', 1, 'Einti', '9/14/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Rheta', 'Morritt', '944-498-9195', 'Colly', 0, 'Realbridge', '7/19/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('De witt', 'Grigson', '709-960-7301', 'Jase', 0, 'Latz', '7/23/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Vivyanne', 'Bembridge', '636-339-5346', 'Inessa', 0, 'Leenti', '12/5/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Myra', 'Bindin', '931-891-2536', 'Maridel', 0, 'Yamia', '2/28/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Steve', 'Pykett', '856-614-0322', 'Elaina', 1, 'Tazz', '5/7/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Tamqrah', 'Heggadon', '746-838-3074', 'Meriel', 1, 'Eidel', '11/23/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Claudette', 'O''Shirine', '944-594-7227', 'Marylynne', 0, 'Miboo', '11/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Aloysius', 'Greenhill', '287-726-5866', 'Berna', 0, 'Gabtune', '10/15/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Brunhilde', 'Quantick', '527-105-7415', 'Ruprecht', 1, 'Ainyx', '5/26/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Rosemarie', 'Heliar', '161-937-0891', 'Junina', 0, 'Ntag', '5/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Maisey', 'Brookesbie', '863-755-7623', 'Jenelle', 1, 'Yabox', '6/3/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Weider', 'Kinsey', '148-959-1436', 'Maxy', 1, 'Midel', '10/4/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Felicle', 'Doodney', '177-813-4276', 'Anica', 0, 'Browsezoom', '12/9/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Dede', 'Corrin', '668-314-6866', 'Norry', 0, 'Mydeo', '7/9/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Allyn', 'Cottis', '760-357-7297', 'Cynthea', 0, 'Einti', '7/30/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Pall', 'Rodrigo', '308-901-5700', 'Dacia', 0, 'Riffwire', '6/9/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Georgine', 'McIlvenny', '835-737-0127', 'Harmonie', 1, 'Abata', '11/4/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Loren', 'Gowing', '797-271-8316', 'Gilbert', 0, 'Twitterbridge', '7/25/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Pattie', 'Maryan', '970-516-2780', 'Pryce', 1, 'Skajo', '2/28/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Martainn', 'Mignot', '520-729-0143', 'Cosme', 1, 'Twitterworks', '8/31/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Adella', 'Manginot', '595-428-6055', 'Abigail', 0, 'Bubblemix', '9/1/2017');
